CdS,Coorte,Genere,Voto_test,Crediti_convoto,Crediti_totali,Voto_medio,Scuola_provenienza,Esame_Matematica,Voto_Matematica,Crediti_Matematica
CdS1,2015,M,15.00,27,27,19,AL,EsameMatematica,18,12
CdS1,2015,M,24.00,9,9,28,LS,EsameMatematica,28,12
CdS1,2015,M,14.00,12,15,21,LS,EsameMatematica,18,12
CdS1,2015,M,20.00,57,60,25,LS,EsameMatematica,22,12
CdS1,2015,F,21.00,0,3,0,,,,
CdS1,2015,M,21.00,39,39,24,LS,EsameMatematica,21,12
CdS1,2015,F,21.00,21,24,23,LS,EsameMatematica,21,12
CdS1,2015,F,20.00,27,30,21,LS,EsameMatematica,20,12
CdS1,2015,F,13.00,0,3,0,LC,,,
CdS1,2015,M,23.00,57,57,28,AL,EsameMatematica,31,12
CdS1,2015,F,13.00,9,12,25,LC,,,
CdS1,2015,M,18.00,21,21,21,IT,EsameMatematica,20,12
CdS1,2015,M,24.00,57,57,28,LS,EsameMatematica,31,12
CdS1,2015,F,13.00,0,9,0,,,,
CdS1,2016,M,12.00,0,3,0,LS,,,
CdS1,2016,M,5.00,21,24,20,AL,,,
CdS1,2016,M,12.75,45,48,24,LS,EsameMatematica,21,12
CdS1,2016,M,12.00,57,60,27,LS,EsameMatematica,28,12
CdS1,2016,F,15.00,45,48,24,LS,EsameMatematica,24,12
CdS1,2016,M,8.75,45,48,23,LC,EsameMatematica,23,12
CdS1,2016,M,9.50,57,57,25,LS,EsameMatematica,26,12
CdS1,2016,M,10.00,45,48,26,LS,EsameMatematica,24,12
CdS1,2016,M,13.50,45,45,28,LS,EsameMatematica,26,12
CdS1,2016,M,9.75,27,30,21,LS,EsameMatematica,20,12
CdS1,2016,M,17.50,6,9,18,LS,,,
CdS1,2016,M,11.25,45,48,25,LS,EsameMatematica,20,12
CdS1,2016,F,10.50,51,51,25,LC,EsameMatematica,22,12
CdS1,2016,F,11.00,45,48,26,LC,EsameMatematica,25,12
CdS1,2016,M,12.75,57,60,29,LS,EsameMatematica,28,12
CdS1,2016,M,13.50,45,48,28,LS,EsameMatematica,28,12
CdS1,2016,M,14.50,18,18,23,LC,EsameMatematica,22,12
CdS1,2016,M,1.75,15,18,21,IT,EsameMatematica,22,12
CdS1,2016,M,10.25,24,27,23,LS,EsameMatematica,23,12
CdS1,2016,M,14.75,45,48,26,LS,EsameMatematica,27,12
CdS1,2016,M,15.00,57,60,26,LS,EsameMatematica,24,12
CdS1,2016,M,6.75,57,60,27,LL,EsameMatematica,30,12
CdS1,2016,F,10.00,33,36,24,LC,EsameMatematica,24,12
CdS1,2016,M,15.25,57,60,26,LS,EsameMatematica,30,12
CdS1,2016,F,10.00,0,3,0,LS,,,
CdS1,2016,M,8.50,57,60,25,LS,EsameMatematica,21,12
